2024-11-07 15:43:14.204 [info] Starting Python Locator /home/blackjack/.vscode-server/extensions/ms-python.python-2024.18.0-linux-armhf/python-env-tools/bin/pet server
2024-11-07 15:43:14.540 [info] Discovered env: /bin/python
2024-11-07 15:43:14.600 [info] Discovered env: /usr/bin/python
2024-11-07 15:43:14.964 [info] Locator Conda took 1.520427005s
2024-11-07 15:43:14.965 [info] Locator Homebrew took 284.058µs
2024-11-07 15:43:14.966 [info] Locator LinuxGlobal took 1.335129516s
2024-11-07 15:43:14.966 [info] Locator PipEnv took 31.875µs
2024-11-07 15:43:14.967 [info] Locator Poetry took 8.520605ms
2024-11-07 15:43:14.967 [info] Locator PyEnv took 19.279873ms
2024-11-07 15:43:14.968 [info] Locator Venv took 77.811µs
2024-11-07 15:43:14.969 [info] Locator VirtualEnv took 84.321µs
2024-11-07 15:43:14.970 [info] Locator VirtualEnvWrapper took 190.414µs
2024-11-07 15:43:14.971 [info] Locator GlobalVirtualEnvs took 17.032458ms
2024-11-07 15:43:14.972 [info] Locator Locators took 1.521742662s
2024-11-07 15:43:14.973 [info] Locator Path took 1.595618089s
2024-11-07 15:43:14.973 [info] Locator Workspaces took 47.33743ms
2024-11-07 15:43:14.975 [info] Refresh completed in 1596ms
