2025-03-27 14:37:51.070 [info] Starting Python Locator /home/blackjack/.vscode-server/extensions/ms-python.python-2025.2.0-linux-armhf/python-env-tools/bin/pet server
2025-03-27 14:37:51.085 [info] Discovered env: /usr/bin/python
2025-03-27 14:37:51.108 [info] Discovered env: /bin/python
2025-03-27 14:37:51.493 [info] Locator Conda took 789.70609ms
2025-03-27 14:37:51.498 [info] Locator Homebrew took 234.424µs
2025-03-27 14:37:51.499 [info] Locator LinuxGlobal took 638.890319ms
2025-03-27 14:37:51.499 [info] Locator PipEnv took 1.093319ms
2025-03-27 14:37:51.499 [info] Locator Pixi took 83.541µs
2025-03-27 14:37:51.499 [info] Locator Poetry took 5.483313ms
2025-03-27 14:37:51.499 [info] Locator PyEnv took 25.197324ms
2025-03-27 14:37:51.499 [info] Locator Venv took 88.645µs
2025-03-27 14:37:51.499 [info] Locator VirtualEnv took 110.051µs
2025-03-27 14:37:51.500 [info] Locator VirtualEnvWrapper took 121.405µs
2025-03-27 14:37:51.500 [info] Locator GlobalVirtualEnvs took 379.526µs
2025-03-27 14:37:51.500 [info] Locator Locators took 790.811908ms
2025-03-27 14:37:51.500 [info] Locator Path took 898.75913ms
2025-03-27 14:37:51.500 [info] Locator Workspaces took 19.434692ms
2025-03-27 14:37:51.501 [info] Refresh completed in 899ms
2025-03-27 14:37:51.510 [info] Resolved Python Environment /usr/bin/python
2025-03-27 14:38:35.561 [info] Resolved Python Environment /usr/bin/python
